Date,Price
2010-07-18,1071.20
2010-07-19,1071.20
2010-07-20,1083.50
2010-07-21,1069.60
2010-07-22,1093.70
2010-07-23,1102.70
2010-07-24,1115.00
2010-07-25,1115.00
2010-07-26,1115.00
2010-07-27,1113.80
2010-07-28,1106.10
2010-07-29,1101.50
2010-07-30,1101.60
2010-07-31,1125.90
2010-08-01,1125.90
2010-08-02,1125.90
2010-08-03,1120.50
2010-08-04,1127.20
2010-08-05,1125.80
2010-08-06,1121.60
2010-08-07,1127.80
2010-08-08,1127.80
2010-08-09,1127.80
2010-08-10,1121.10
2010-08-11,1089.50
2010-08-12,1083.60
2010-08-13,1079.20
2010-08-14,1079.40
2010-08-15,1079.40
2010-08-16,1079.40
2010-08-17,1092.50
2010-08-18,1094.20
2010-08-19,1075.60
2010-08-20,1071.70
2010-08-21,1067.40
2010-08-22,1067.40
2010-08-23,1067.40
2010-08-24,1051.90
2010-08-25,1055.30
2010-08-26,1047.20
2010-08-27,1064.60
2010-08-28,1048.90
2010-08-29,1048.90
2010-08-30,1048.90
2010-08-31,1049.30
2010-09-01,1080.30
2010-09-02,1090.10
2010-09-03,1104.50
2010-09-04,1091.80
2010-09-05,1091.80
2010-09-06,1091.80
2010-09-07,1091.80
2010-09-08,1098.90
2010-09-09,1104.20
2010-09-10,1109.50
2010-09-11,1121.90
2010-09-12,1121.90
2010-09-13,1121.90
2010-09-14,1121.10
2010-09-15,1125.10
2010-09-16,1124.70
2010-09-17,1125.60
2010-09-18,1142.70
2010-09-19,1142.70
2010-09-20,1142.70
2010-09-21,1139.80
2010-09-22,1134.30
2010-09-23,1124.80
2010-09-24,1148.70
2010-09-25,1142.20
2010-09-26,1142.20
2010-09-27,1142.20
2010-09-28,1147.70
2010-09-29,1144.70
2010-09-30,1141.20
2010-10-01,1146.20
2010-10-02,1137.00
2010-10-03,1137.00
2010-10-04,1137.00
2010-10-05,1160.80
2010-10-06,1160.00
2010-10-07,1158.10
2010-10-08,1165.20
2010-10-09,1165.30
