Date,Price
2010-07-18,1.0557
2010-07-19,1.0557
2010-07-20,1.0526
2010-07-21,1.0422
2010-07-22,1.0373
2010-07-23,1.0376
2010-07-24,1.0312
2010-07-25,1.0312
2010-07-26,1.0312
2010-07-27,1.0357
2010-07-28,1.0356
2010-07-29,1.0368
2010-07-30,1.0293
2010-07-31,1.0227
2010-08-01,1.0227
2010-08-02,1.0227
2010-08-03,1.0219
2010-08-04,1.0184
2010-08-05,1.0154
2010-08-06,1.0272
2010-08-07,1.0266
2010-08-08,1.0266
2010-08-09,1.0266
2010-08-10,1.0347
2010-08-11,1.0455
2010-08-12,1.0433
2010-08-13,1.04
2010-08-14,1.0429
2010-08-15,1.0429
2010-08-16,1.0429
2010-08-17,1.0311
2010-08-18,1.0286
2010-08-19,1.0397
2010-08-20,1.0499
2010-08-21,1.0512
2010-08-22,1.0512
2010-08-23,1.0512
2010-08-24,1.0563
2010-08-25,1.064
2010-08-26,1.0545
2010-08-27,1.0547
2010-08-28,1.0561
2010-08-29,1.0561
2010-08-30,1.0561
2010-08-31,1.064
2010-09-01,1.0497
2010-09-02,1.052
2010-09-03,1.0411
2010-09-04,1.0411
2010-09-05,1.0411
2010-09-06,1.0411
2010-09-07,1.0426
2010-09-08,1.0359
2010-09-09,1.0323
2010-09-10,1.0357
2010-09-11,1.0277
2010-09-12,1.0277
2010-09-13,1.0277
2010-09-14,1.0219
2010-09-15,1.0281
2010-09-16,1.0274
2010-09-17,1.0331
2010-09-18,1.028
2010-09-19,1.028
2010-09-20,1.028
2010-09-21,1.0314
2010-09-22,1.0325
2010-09-23,1.0307
2010-09-24,1.0262
2010-09-25,1.026
2010-09-26,1.026
2010-09-27,1.026
2010-09-28,1.0305
2010-09-29,1.03
2010-09-30,1.0293
2010-10-01,1.0214
2010-10-02,1.0235
2010-10-03,1.0235
2010-10-04,1.0235
2010-10-05,1.0169
2010-10-06,1.0073
2010-10-07,1.0167
2010-10-08,1.0138
2010-10-09,1.0138
2010-10-10,1.0138
2010-10-11,1.0138
2010-10-12,1.0111
2010-10-13,1.0028
2010-10-14,1.0036
2010-10-15,1.0108
2010-10-16,1.0145
2010-10-17,1.0145
2010-10-18,1.0145
2010-10-19,1.0298
2010-10-20,1.0245
2010-10-21,1.0232
2010-10-22,1.0262
2010-10-23,1.0197
2010-10-24,1.0197
2010-10-25,1.0197
