Date,Price
2010-07-18,32.14
2010-07-19,32.14
2010-07-20,32.16
2010-07-21,32.14
2010-07-22,32.1
2010-07-23,32.09
2010-07-24,32.06
2010-07-25,32.06
2010-07-26,32.06
2010-07-27,31.98
2010-07-28,32.0
2010-07-29,31.94
2010-07-30,31.95
2010-07-31,31.76
2010-08-01,31.76
2010-08-02,31.76
2010-08-03,31.75
2010-08-04,31.79
2010-08-05,31.76
2010-08-06,31.7
2010-08-07,31.65
2010-08-08,31.65
2010-08-09,31.65
2010-08-10,31.75
2010-08-11,31.8
2010-08-12,31.92
2010-08-13,31.9
2010-08-14,31.92
2010-08-15,31.92
2010-08-16,31.92
2010-08-17,31.86
2010-08-18,31.85
2010-08-19,31.89
2010-08-20,31.92
2010-08-21,31.9
2010-08-22,31.9
2010-08-23,31.9
2010-08-24,31.98
2010-08-25,32.02
2010-08-26,32.0
2010-08-27,31.98
2010-08-28,32.02
2010-08-29,32.02
2010-08-30,32.02
2010-08-31,32.01
2010-09-01,31.99
2010-09-02,31.96
2010-09-03,31.87
2010-09-04,31.87
2010-09-05,31.87
2010-09-06,31.87
2010-09-07,31.94
2010-09-08,31.9
2010-09-09,31.84
2010-09-10,31.82
2010-09-11,31.68
2010-09-12,31.68
2010-09-13,31.68
2010-09-14,31.72
2010-09-15,31.72
2010-09-16,31.66
2010-09-17,31.65
2010-09-18,31.63
2010-09-19,31.63
2010-09-20,31.63
2010-09-21,31.58
2010-09-22,31.52
2010-09-23,31.54
2010-09-24,31.34
2010-09-25,31.35
2010-09-26,31.35
2010-09-27,31.35
2010-09-28,31.41
2010-09-29,31.15
2010-09-30,31.19
2010-10-01,31.3
2010-10-02,31.24
2010-10-03,31.24
2010-10-04,31.24
2010-10-05,31.06
2010-10-06,30.86
2010-10-07,30.74
2010-10-08,30.84
2010-10-09,30.84
2010-10-10,30.84
2010-10-11,30.84
2010-10-12,30.98
2010-10-13,30.84
2010-10-14,30.66
2010-10-15,30.66
2010-10-16,30.75
2010-10-17,30.75
2010-10-18,30.75
2010-10-19,30.89
