Date,Price
2010-07-18,6.778
2010-07-19,6.778
2010-07-20,6.7781
2010-07-21,6.7769
2010-07-22,6.7795
2010-07-23,6.7803
2010-07-24,6.7788
2010-07-25,6.7788
2010-07-26,6.7788
2010-07-27,6.7781
2010-07-28,6.778
2010-07-29,6.776
2010-07-30,6.7735
2010-07-31,6.774
2010-08-01,6.774
2010-08-02,6.774
2010-08-03,6.7728
2010-08-04,6.772
2010-08-05,6.7705
2010-08-06,6.768
2010-08-07,6.767
2010-08-08,6.767
2010-08-09,6.767
2010-08-10,6.772
2010-08-11,6.7745
2010-08-12,6.7843
2010-08-13,6.7957
2010-08-14,6.8038
2010-08-15,6.8038
2010-08-16,6.8038
2010-08-17,6.792
2010-08-18,6.7911
2010-08-19,6.7897
2010-08-20,6.79
2010-08-21,6.7995
2010-08-22,6.7995
2010-08-23,6.7995
2010-08-24,6.7966
2010-08-25,6.7995
2010-08-26,6.7998
2010-08-27,6.7977
2010-08-28,6.8029
2010-08-29,6.8029
2010-08-30,6.8029
2010-08-31,6.8069
2010-09-01,6.8102
2010-09-02,6.807
2010-09-03,6.8014
2010-09-04,6.8014
2010-09-05,6.8014
2010-09-06,6.8014
2010-09-07,6.7906
2010-09-08,6.794
2010-09-09,6.782
2010-09-10,6.769
2010-09-11,6.7595
2010-09-12,6.7595
2010-09-13,6.7595
2010-09-14,6.743
2010-09-15,6.738
2010-09-16,6.725
2010-09-17,6.723
2010-09-18,6.7135
2010-09-19,6.7135
2010-09-20,6.7135
2010-09-21,6.7059
2010-09-22,6.7035
2010-09-23,6.7046
2010-09-24,6.7035
2010-09-25,6.6911
2010-09-26,6.6911
2010-09-27,6.6911
2010-09-28,6.6904
2010-09-29,6.6869
2010-09-30,6.6905
2010-10-01,6.6895
2010-10-02,6.6912
2010-10-03,6.6912
2010-10-04,6.6912
2010-10-05,6.6906
2010-10-06,6.6893
2010-10-07,6.6903
2010-10-08,6.671
2010-10-09,6.671
2010-10-10,6.671
2010-10-11,6.671
2010-10-12,6.6733
2010-10-13,6.6634
2010-10-14,6.6505
2010-10-15,6.6397
2010-10-16,6.644
2010-10-17,6.644
2010-10-18,6.644
2010-10-19,6.6444
2010-10-20,6.6518
2010-10-21,6.6502
2010-10-22,6.6583
2010-10-23,6.6579
2010-10-24,6.6579
2010-10-25,6.6579
2010-10-26,6.6625
2010-10-27,6.6805
2010-10-28,6.6867
2010-10-29,6.6707
2010-10-30,6.6892
2010-10-31,6.6892
2010-11-01,6.6892
2010-11-02,6.6775
2010-11-03,6.6758
2010-11-04,6.6609
2010-11-05,6.655
2010-11-06,6.6791
2010-11-07,6.6791
2010-11-08,6.6791
2010-11-09,6.6424
2010-11-10,6.6335
2010-11-11,6.6335
2010-11-12,6.6368
2010-11-13,6.6418
2010-11-14,6.6418
2010-11-15,6.6418
2010-11-16,6.6378
2010-11-17,6.6415
2010-11-18,6.633
2010-11-19,6.6398
2010-11-20,6.6414
2010-11-21,6.6414
2010-11-22,6.6414
2010-11-23,6.6433
2010-11-24,6.6529
2010-11-25,6.6529
2010-11-26,6.6675
2010-11-27,6.66
2010-11-28,6.66
2010-11-29,6.66
2010-11-30,6.667
2010-12-01,6.663
2010-12-02,6.6609
2010-12-03,6.6628
2010-12-04,6.6483
2010-12-05,6.6483
2010-12-06,6.6483
2010-12-07,6.6455
2010-12-08,6.6616
2010-12-09,6.6549
2010-12-10,6.655
2010-12-11,6.6652
2010-12-12,6.6652
