Date,BTC,CAD,TWD,EUR,CNY,HKD,SP500,GBP
2010-07-18,6.778,6.778,6.778,6.778,6.778,7.7748,3096.6,1.5222
2010-07-19,6.778,6.778,6.778,6.778,6.778,7.7748,3096.6,1.5222
2010-07-20,6.7781,6.7781,6.7781,6.7781,6.7781,7.7736,3096.6,1.5255
2010-07-21,6.7769,6.7769,6.7769,6.7769,6.7769,7.7739,3096.6,1.5201
2010-07-22,6.7795,6.7795,6.7795,6.7795,6.7795,7.7739,3096.6,1.5283
2010-07-23,6.7803,6.7803,6.7803,6.7803,6.7803,7.7667,3096.6,1.5425
2010-07-24,6.7788,6.7788,6.7788,6.7788,6.7788,7.766,3096.6,1.549
2010-07-25,6.7788,6.7788,6.7788,6.7788,6.7788,7.766,3096.6,1.549
2010-07-26,6.7788,6.7788,6.7788,6.7788,6.7788,7.766,3096.6,1.549
2010-07-27,6.7781,6.7781,6.7781,6.7781,6.7781,7.7651,3096.6,1.5538
2010-07-28,6.778,6.778,6.778,6.778,6.778,7.7657,3096.6,1.5611
2010-07-29,6.776,6.776,6.776,6.776,6.776,7.7656,3096.6,1.5591
2010-07-30,6.7735,6.7735,6.7735,6.7735,6.7735,7.7672,3096.6,1.5714
2010-07-31,6.774,6.774,6.774,6.774,6.774,7.7638,3096.6,1.5897
2010-08-01,6.774,6.774,6.774,6.774,6.774,7.7638,3096.6,1.5897
2010-08-02,6.774,6.774,6.774,6.774,6.774,7.7638,3096.6,1.5897
2010-08-03,6.7728,6.7728,6.7728,6.7728,6.7728,7.7605,3096.6,1.5941
2010-08-04,6.772,6.772,6.772,6.772,6.772,7.7636,3096.6,1.5887
2010-08-05,6.7705,6.7705,6.7705,6.7705,6.7705,7.7637,3096.6,1.586
2010-08-06,6.768,6.768,6.768,6.768,6.768,7.7629,3096.6,1.5979
2010-08-07,6.767,6.767,6.767,6.767,6.767,7.7613,3096.6,1.5945
2010-08-08,6.767,6.767,6.767,6.767,6.767,7.7613,3096.6,1.5945
2010-08-09,6.767,6.767,6.767,6.767,6.767,7.7613,3096.6,1.5945
2010-08-10,6.772,6.772,6.772,6.772,6.772,7.7638,3096.6,1.5776
2010-08-11,6.7745,6.7745,6.7745,6.7745,6.7745,7.7662,3096.6,1.5688
2010-08-12,6.7843,6.7843,6.7843,6.7843,6.7843,7.7679,3096.6,1.5573
2010-08-13,6.7957,6.7957,6.7957,6.7957,6.7957,7.7723,3096.6,1.558
2010-08-14,6.8038,6.8038,6.8038,6.8038,6.8038,7.7723,3096.6,1.5679
2010-08-15,6.8038,6.8038,6.8038,6.8038,6.8038,7.7723,3096.6,1.5679
2010-08-16,6.8038,6.8038,6.8038,6.8038,6.8038,7.7723,3096.6,1.5679
2010-08-17,6.792,6.792,6.792,6.792,6.792,7.7699,3096.6,1.5586
2010-08-18,6.7911,6.7911,6.7911,6.7911,6.7911,7.7691,3096.6,1.5619
2010-08-19,6.7897,6.7897,6.7897,6.7897,6.7897,7.7697,3096.6,1.5612
2010-08-20,6.79,6.79,6.79,6.79,6.79,7.7759,3096.6,1.5515
2010-08-21,6.7995,6.7995,6.7995,6.7995,6.7995,7.7747,3096.6,1.5532
2010-08-22,6.7995,6.7995,6.7995,6.7995,6.7995,7.7747,3096.6,1.5532
2010-08-23,6.7995,6.7995,6.7995,6.7995,6.7995,7.7747,3096.6,1.5532
2010-08-24,6.7966,6.7966,6.7966,6.7966,6.7966,7.7769,3096.6,1.5471
2010-08-25,6.7995,6.7995,6.7995,6.7995,6.7995,7.777,3096.6,1.546
2010-08-26,6.7998,6.7998,6.7998,6.7998,6.7998,7.778,3096.6,1.5574
2010-08-27,6.7977,6.7977,6.7977,6.7977,6.7977,7.7788,3096.6,1.5528
2010-08-28,6.8029,6.8029,6.8029,6.8029,6.8029,7.7787,3096.6,1.5473
2010-08-29,6.8029,6.8029,6.8029,6.8029,6.8029,7.7787,3096.6,1.5473
2010-08-30,6.8029,6.8029,6.8029,6.8029,6.8029,7.7787,3096.6,1.5473
2010-08-31,6.8069,6.8069,6.8069,6.8069,6.8069,7.7781,3096.6,1.5358
2010-09-01,6.8102,6.8102,6.8102,6.8102,6.8102,7.7738,3096.6,1.5472
2010-09-02,6.807,6.807,6.807,6.807,6.807,7.7702,3096.6,1.5393
2010-09-03,6.8014,6.8014,6.8014,6.8014,6.8014,7.7714,3096.6,1.5452
2010-09-04,6.8014,6.8014,6.8014,6.8014,6.8014,7.7714,3096.6,1.5452
2010-09-05,6.8014,6.8014,6.8014,6.8014,6.8014,7.7714,3096.6,1.5452
2010-09-06,6.8014,6.8014,6.8014,6.8014,6.8014,7.7714,3096.6,1.5452
2010-09-07,6.7906,6.7906,6.7906,6.7906,6.7906,7.7679,3096.6,1.5315
2010-09-08,6.794,6.794,6.794,6.794,6.794,7.7692,3096.6,1.5513
2010-09-09,6.782,6.782,6.782,6.782,6.782,7.7691,3096.6,1.5448
2010-09-10,6.769,6.769,6.769,6.769,6.769,7.766,3096.6,1.5387
2010-09-11,6.7595,6.7595,6.7595,6.7595,6.7595,7.7666,3096.6,1.5466
2010-09-12,6.7595,6.7595,6.7595,6.7595,6.7595,7.7666,3096.6,1.5466
2010-09-13,6.7595,6.7595,6.7595,6.7595,6.7595,7.7666,3096.6,1.5466
2010-09-14,6.743,6.743,6.743,6.743,6.743,7.7657,3096.6,1.5559
2010-09-15,6.738,6.738,6.738,6.738,6.738,7.7667,3096.6,1.5641
2010-09-16,6.725,6.725,6.725,6.725,6.725,7.7668,3096.6,1.5612
2010-09-17,6.723,6.723,6.723,6.723,6.723,7.7646,3096.6,1.5635
2010-09-18,6.7135,6.7135,6.7135,6.7135,6.7135,7.7634,3096.6,1.5564
2010-09-19,6.7135,6.7135,6.7135,6.7135,6.7135,7.7634,3096.6,1.5564
2010-09-20,6.7135,6.7135,6.7135,6.7135,6.7135,7.7634,3096.6,1.5564
2010-09-21,6.7059,6.7059,6.7059,6.7059,6.7059,7.7617,3096.6,1.5551
2010-09-22,6.7035,6.7035,6.7035,6.7035,6.7035,7.7581,3096.6,1.5649
2010-09-23,6.7046,6.7046,6.7046,6.7046,6.7046,7.7591,3096.6,1.5723
2010-09-24,6.7035,6.7035,6.7035,6.7035,6.7035,7.7561,3096.6,1.5829
2010-09-25,6.6911,6.6911,6.6911,6.6911,6.6911,7.7579,3096.6,1.5851
2010-09-26,6.6911,6.6911,6.6911,6.6911,6.6911,7.7579,3096.6,1.5851
2010-09-27,6.6911,6.6911,6.6911,6.6911,6.6911,7.7579,3096.6,1.5851
2010-09-28,6.6904,6.6904,6.6904,6.6904,6.6904,7.7578,3096.6,1.5808
2010-09-29,6.6869,6.6869,6.6869,6.6869,6.6869,7.7574,3096.6,1.5812
2010-09-30,6.6905,6.6905,6.6905,6.6905,6.6905,7.7599,3096.6,1.5731
2010-10-01,6.6895,6.6895,6.6895,6.6895,6.6895,7.7573,3096.6,1.5829
2010-10-02,6.6912,6.6912,6.6912,6.6912,6.6912,7.7579,3096.6,1.5849
2010-10-03,6.6912,6.6912,6.6912,6.6912,6.6912,7.7579,3096.6,1.5849
2010-10-04,6.6912,6.6912,6.6912,6.6912,6.6912,7.7579,3096.6,1.5849
2010-10-05,6.6906,6.6906,6.6906,6.6906,6.6906,7.7558,3096.6,1.5915
2010-10-06,6.6893,6.6893,6.6893,6.6893,6.6893,7.7552,3096.6,1.5903
2010-10-07,6.6903,6.6903,6.6903,6.6903,6.6903,7.7527,3096.6,1.593
2010-10-08,6.671,6.671,6.671,6.671,6.671,7.7567,3096.6,1.5951
2010-10-09,6.671,6.671,6.671,6.671,6.671,7.7567,3096.6,1.5951
2010-10-10,6.671,6.671,6.671,6.671,6.671,7.7567,3096.6,1.5951
